,ano,nome_entidade,data_ano_letivo_inicio,data_ano_letivo_termino
397,2017,ESCOLA PARTICULAR NOSSA SENHORA DA CONCEICAO,2017-02-01T00:00:00,2017-12-29T00:00:00
398,2017,ESCOLA MUNICIPAL MONTEIRO LOBATO,2017-02-11T00:00:00,2017-12-22T00:00:00
399,2017,CENTRO EDUCACIONAL COMUNITARIO REDENCAO,2017-02-01T00:00:00,2017-12-22T00:00:00
400,2017,ESCOLA MISSIONARIO SAO BENTO,2017-02-02T00:00:00,2017-12-22T00:00:00
401,2017,ESCOLA MUNICIPAL BOLA NA REDE,2017-02-03T00:00:00,2017-12-22T00:00:00
402,2017,CENTRO DE EDUCACAO DE JOVENS E ADULTOS POETA JOAQUIM CARDOZO,2017-02-02T00:00:00,2017-12-22T00:00:00
403,2017,ESCOLA MUNICIPAL ASA BRANCA,2017-02-03T00:00:00,2017-12-22T00:00:00
404,2017,ESCOLA SABER E CRIAR,2017-02-01T00:00:00,2017-12-22T00:00:00
405,2017,ESCOLA MARIA GORETTI,2017-02-02T00:00:00,2017-12-22T00:00:00
406,2017,ESCOLA MUNICIPAL SANTO ANTONIO DO CACOTE,2017-02-03T00:00:00,2017-12-22T00:00:00
407,2017,ESCOLA SANTA SOFIA,,
408,2017,EDUCANDARIO NOSSA SENHORA DA CONCEICAO,2017-02-01T00:00:00,2017-12-27T00:00:00
409,2017,ESCOLA MUNICIPAL DE TEJIPIO,2017-02-03T00:00:00,2017-12-22T00:00:00
410,2017,ESCOLA MUNICIPAL VILA SESAMO,2017-02-03T00:00:00,2017-12-22T00:00:00
411,2017,ESCOLA MUNICIPAL SEVERINA BERNADETE TEIXEIRA,2017-02-03T00:00:00,2017-12-22T00:00:00
412,2017,ESCOLA DE REFERENCIA EM ENSINO MEDIO OLIVEIRA LIMA,2017-02-01T00:00:00,2017-12-22T00:00:00
413,2017,ESCOLA COMANDANTE LUIZ GOMES,2017-02-02T00:00:00,2017-12-22T00:00:00
414,2017,ESCOLA MUNICIPAL MERCIA DE ALBUQUERQUE FERREIRA,2017-02-03T00:00:00,2017-12-22T00:00:00
415,2017,COLEGIO FUTURO LTDA,2017-02-01T00:00:00,2017-12-29T00:00:00
416,2017,ESCOLA MUNICIPAL DIACONO ABEL GUEIROS,2017-02-03T00:00:00,2017-12-21T00:00:00
417,2017,ESCOLA DE REFERENCIA EM ENSINO MEDIO JOSE VILELA,2017-02-02T00:00:00,2017-12-22T00:00:00
418,2017,ESCOLA DE REFERENCIA EM ENSINO MEDIO GINASIO PERNAMBUCANO - AURORA,2017-02-02T00:00:00,2017-12-22T00:00:00
419,2017,EDUCANDARIO EVANGELICO IDEAL,2017-02-01T00:00:00,2017-12-29T00:00:00
420,2017,COLEGIO 2001,2017-02-01T00:00:00,2017-12-29T00:00:00
421,2017,ESCOLA VILA DOS MILAGRES,2017-02-02T00:00:00,2017-12-22T00:00:00
422,2017,ESCOLA PROFESSOR MOTTA E ALBUQUERQUE,2017-02-02T00:00:00,2017-12-22T00:00:00
423,2017,ESCOLA DE REFERENCIA EM ENSINO MEDIO CLOTILDE DE OLIVEIRA,2017-02-02T00:00:00,2017-12-22T00:00:00
424,2017,CURSO TECNICO DE ENFERMAGEM,,
425,2017,ESCOLA POSITIVA,,
426,2017,COLONIA EDUCACIONAL ETERNO APRENDIZ,,
427,2017,CRECHE NANA NENEM DO BURITY,,
428,2017,ESCOLA CRIATIVA,,
429,2017,GRUPO DE MAES NOSSA SENHORA DO CARMO,,
430,2017,COLEGIO MULTICULTURAL DO RECIFE,,
431,2017,ESCOLA ESPACO CRIANCA,2017-02-01T00:00:00,2017-12-15T00:00:00
432,2017,ACADEMIA SANTA SOPHIA,,
433,2017,GREMIO CULT PAVILHAO RECREATIVO POPULAR DA UR2,,
434,2017,CAPI-CENTRO DE APRENDIZAGEM PED DO IPSEP,,
435,2017,ESCOLA CASTELO DO SABER,2017-02-01T00:00:00,2017-12-30T00:00:00
436,2017,TRILHA DO SOL CENTRO DE EDUC INTREG LTDA,,
437,2017,EDUCANDARIO SANTA CECILIA,2017-02-06T00:00:00,2017-12-29T00:00:00
438,2017,EDUCANDARIO INFANCIA FELIZ,2017-02-01T00:00:00,2017-12-22T00:00:00
439,2017,EXTERNATO SANTA TEREZINHA,,
440,2017,CENTRO EDUCACIONAL POPULAR DO ANGELIM,,
441,2017,ESCOLA ARCA DE NOE,,
442,2017,COLEGIO PRIMORDIAL SAO SEBASTIAO,,
443,2017,ASSC DOS MORADORES DO CORREGO JOAO CARVOEIRO,,
444,2017,CLUBE DE MAES LOTEAMENTO ARCA DE NOE,,
445,2017,INSTITUTO ANDRADE LIMA,,
446,2017,ESCOLA JEANNE KARLA,,
447,2017,BLOCO CARNAVALESCO TRES CORACOES DO FUNDAO,,
448,2017,NIP - ESCOLA DE EDUCACAO APLICADA,2017-02-06T00:00:00,2017-12-29T00:00:00
449,2017,INSTITUTO LEOPOLDINA,,
450,2017,ESCOLA PROFESSORA LOURDES DINIZ,,
