,nome,endereco,latitude,longitude
95,MERCADO SANTA RITA-05,"Cais Santa Rita, 626 - São José, Recife - PE, 50020-705, Brazil",-8.07096773205401,-34.8769407877391
96,MERCADO SAO JOSE-01,"Praça Dom Vital, s/n - bx 73/74 - São José, Recife - PE, 50020-280, Brazil",-8.06858846373088,-34.8780178180765
97,MERCADO SAO JOSE-02,"R. do Porão, 166 - São José, Recife - PE, 50020-610, Brazil",-8.06806527006992,-34.8776666876626
98,MERCADO SAO JOSE-03,"Praça Dom Vital, s/n - bx 73/74 - São José, Recife - PE, 50020-280, Brazil",-8.06858846373088,-34.8780178180765
99,MERCADO SAO JOSE-04,"R. da Praia, 470 - São José, Recife - PE, 50020-550, Brazil",-8.06878317369197,-34.8774747381467
100,MERCADO SAO JOSE-05,"R. da Praia, 248 - São José, Recife - PE, 50020-550, Brazil",-8.06857044074449,-34.8773734220724
101,MERCADO SAO JOSE-06,"Praça Dom Vital, 193 - São José, Recife - PE, 50020-906, Brazil",-8.06843553686611,-34.8773175235486
102,MERCADO SAO JOSE-07,"Praça Dom Vital, 346 - São José, Recife - PE, 50020-280, Brazil",-8.06827641941324,-34.8776511678623
103,ORLA BOA VIAGEM - 1 JARDIM-01,"Av. Boa Viagem, 3196 - Boa Viagem, Recife - PE, 51020-001, Brazil",-8.10499602183443,-34.886986964158
104,ORLA BOA VIAGEM - 2 JARDIM-01,"Terceiro Jardim da Boa Viagem, Terceiro Jardim de Boa Viagem - 34 - Boa Viagem, Recife - PE, 51011-000, Brazil",-8.10821400924063,-34.888495605755
105,ORLA BOA VIAGEM - 3 JARDIM-01,"Terceiro Jardim da Boa Viagem, Terceiro Jardim de Boa Viagem - 34 - Boa Viagem, Recife - PE, 51011-000, Brazil",-8.10821966055982,-34.8884953341302
106,ORLA BOA VIAGEM - QUIOSQUE 16-01,"Av. Boa Viagem, 16 - Boa Viagem, Recife - PE, 51011-000, Brazil",-8.11376211486535,-34.8909100073467
107,ORLA BOA VIAGEM - QUIOSQUE 18-01,"PE-009, 18 - Boa Viagem, Recife - PE, 51020-000, Brazil",-8.115503540914,-34.8920970516267
108,ORLA BOA VIAGEM - QUIOSQUE 20-01,"Av. Boa Viagem, 20 - Boa Viagem, Recife - PE, 51011-000, Brazil",-8.11683648231502,-34.8928982670027
109,ORLA BOA VIAGEM - QUIOSQUE 22-01,"Av. Boa Viagem, 22 - Boa Viagem, Recife - PE, 51011-000, Brazil",-8.11838650862226,-34.8937715507278
110,ORLA BOA VIAGEM - QUIOSQUE 24-01,"Av. Boa Viagem, 3478 - Boa Viagem, Recife - PE, 51020-001, Brazil",-8.12013242687217,-34.8950420789902
111,ORLA BOA VIAGEM - QUIOSQUE 26-01,"PE-009, 3672 - Boa Viagem, Recife - PE, 51021-280, Brazil",-8.12183794643355,-34.895767907012
112,ORLA BOA VIAGEM - QUIOSQUE 28-01,"PE-009, 28 - Boa Viagem, Recife - PE, 51030-000, Brazil",-8.12327185712116,-34.8964007002856
113,ORLA BOA VIAGEM - QUIOSQUE 30-01,"Av. Boa Viagem, 30 - Boa Viagem, Recife - PE, 51011-000, Brazil",-8.12503692143915,-34.897062153149
114,ORLA BOA VIAGEM - QUIOSQUE 3-01,"R. Cap. Rebelinho, 447 - Pina, Recife - PE, 51011-010, Brazil",-8.09502404321073,-34.8837567793939
115,ORLA BOA VIAGEM - QUIOSQUE 32-01,"Av. Boa Viagem, 32 - Boa Viagem, Recife - PE, 51011-000, Brazil",-8.12694801197613,-34.8976644485827
116,ORLA BOA VIAGEM - QUIOSQUE 33-01,"Av. Boa Viagem, 33 - Boa Viagem, Recife - PE, 51011-000, Brazil",-8.12835892393216,-34.8981396689421
117,ORLA BOA VIAGEM - QUIOSQUE 38-01,"Av. Boa Viagem, 38 - Boa Viagem, Recife - PE, 51011-000, Brazil",-8.13349501260478,-34.9004767231395
118,ORLA BOA VIAGEM - QUIOSQUE 45-01,"Av. Boa Viagem, 45 - Boa Viagem, Recife - PE, 51011-000, Brazil",-8.13887062353118,-34.9023605003133
119,PATIO SAO PEDRO - CASA 10-01,"R. Felipe Camarão, 119 - São José, Recife - PE, 50020-250, Brazil",-8.0670234,-34.8789351
120,PATIO SAO PEDRO - CASA CARNAVAL-01,"R. das Águas Verdes, 38 - São José, Recife - PE, 50020-545, Brazil",-8.06702177009843,-34.8791909095792
121,PC  ENTRONCAMENTO-02,"Av. Rui Barbosa, 879 - Graças, Recife - PE, 52011-040, Brazil",-8.0454534,-34.9020349
122,PC  HENJI GEMBA,"Praça da Morte - R. Felíciano José de Farias, 157 - Boa Viagem, Recife - PE, 51030-450, Brazil",-8.1329263,-34.9043207
123,PC ABC-01,"Rua Ernesto Cavalcanti, 41 - Mustardinha, Recife - PE, 50760-002, Brazil",-8.07384414367507,-34.9181010268781
124,PC ABELARDO BALTAR-01,"Praça Abelardo Baltar, 55 - Pina, Recife - PE, 51010-610, Brazil",-8.087275,-34.8831019
125,PC ABELARDO RIJO-01,"Clube Cabaga - Av. Eng. José Estelita - Cabanga - Cabanga, Recife - PE, 50090, Brazil",-8.0781686,-34.891742
126,PC AEREO XAVIER,"R. Dom José Pereira Alves, 250 - Cordeiro, Recife - PE, 50721-020, Brazil",-8.050299,-34.9262634
127,PC ALBERTO VANDERLE,"Praça Dr. Alberto Wanderley - Fundão - Porto da Madeira, Recife - PE, 52221-180, Brazil",-8.0094005,-34.8887121
128,PC ALEIXO DE OLIVEIRA-01,"R. Adolfo Faro, 1 - Ipsep, Recife - PE, 51350-420, Brazil",-8.1123306,-34.9243101
129,PC ALFREDO OZARIO,"R. São Vicente, 228 - Tamarineira, Recife - PE, 52051-160, Brazil",-8.02837823194217,-34.9059248455327
130,PC ALICE DE ALBUQUERQUE-01,"R. Adolfo Simões Barbosa, 729 - Cajueiro, Recife - PE, 52221-150, Brazil",-8.0125194,-34.8837992
131,PC ALTO DA SERRINHA-01,"R. Alto da Serrinha, 996 - Alto José Bonifacio, Recife - PE, 52080-290, Brazil",-8.0129213,-34.9107823
132,PC ALTO JOSE DO PINHO-01,"R. Severino Bernardino Pereira, 351 - Alto José do Pinho, Recife - PE, 52110-460, Brazil",-8.02233143262583,-34.906250881298
133,PC AMARO ALBINO PIMENTEL-01,"R. Eng. Agamenon Magalhães de Melo, 64 - Tamarineira, Recife - PE, 52050-552, Brazil",-8.0293038,-34.8972384
134,PC ANTONIO BEZERRA PONTES,"Praça do Sena, 163 - Areias, Recife - PE, 50870-782, Brazil",-8.0967943,-34.9339466
135,PC ANTONIO LUIZ NETO,"R. Desportista Valdir Santana, 65 - Ponto de Parada, Recife - PE, 52041-450, Brazil",-8.028103,-34.8906076
136,PC ARAO BOTLER,"Rua Cidade Monteiro, 380 - Porto da Madeira, Recife - PE, 52221-210, Brazil",-8.007036,-34.8870998
137,PC ARARI FERREIRA FONSECA-01,"R. José Peregrino, 33 - Iputinga, Recife - PE, 50690-370, Brazil",-8.0306268,-34.9362843
138,PC ARENA ESTANCIA-01,"R. Rocha Pombo, 26 - Estância, Recife - PE, 50865-090, Brazil",-8.0823729,-34.9317705
139,PC ARQUITETA MARIA LUCIA-01,"Praça Maria Lúcia - R. Américo de Campos, 87 - Ipsep, Recife - PE, 51350-590, Brazil",-8.10388164233312,-34.9267712807008
140,PC ARSENAL-01,"Praça do Arsenal da Marinha, S. n. Predio do Paço do Frevo, 1o. Andar - Recife, PE, 50030-210, Brazil",-8.06098721562961,-34.8712754394942
141,PC ASCENCAO FERREIRA-01,"R. Me. de Deus, 243 - Recife, PE, 50030-110, Brazil",-8.0624949,-34.8736728
142,PC BATALHA DA QUADRA-01,"Estr. Real do Poço, 494 - Poço da Panela, Recife - PE, 52061-200, Brazil",-8.03661806617319,-34.9248201305151
143,PC BATISTA DA SILVA-01,"R. Prof. Trajano de Mendonça, 340 - Torre, Recife - PE, 50710-200, Brazil",-8.0440251,-34.9093407
144,PC BERARDO-01,"R. João Crescêncio, 109 - Madalena, Recife - PE, 50720-300, Brazil",-8.05657953948613,-34.9124950348305
145,PC BRASILIT-01,"R. Eng. Vasconcelos Bittencourt, 86 - Várzea, Recife - PE, 50740-180, Brazil",-8.0414278,-34.9503072
